user,number_of_rounds,average_click_duration,std_click_duration,response time,rate_of_true,true_answer_average_duration,true_answer_average_RT,false_answer_average_duration,false_answer_average_RT,0_rounds_since_mistake_average_response_time,0_rounds_since_mistake_average_duration,0_rounds_since_mistake_average_is_correct,1_rounds_since_mistake_average_response_time,1_rounds_since_mistake_GAP_RT,1_rounds_since_mistake_average_duration,1_rounds_since_mistake_average_is_correct,2_rounds_since_mistake_average_response_time,2_rounds_since_mistake_GAP_RT,2_rounds_since_mistake_average_duration,2_rounds_since_mistake_average_is_correct,3_rounds_since_mistake_average_response_time,3_rounds_since_mistake_GAP_RT,3_rounds_since_mistake_average_duration,3_rounds_since_mistake_average_is_correct,4_rounds_since_mistake_average_response_time,4_rounds_since_mistake_GAP_RT,4_rounds_since_mistake_average_duration,4_rounds_since_mistake_average_is_correct,5_rounds_since_mistake_average_response_time,5_rounds_since_mistake_GAP_RT,5_rounds_since_mistake_average_duration,5_rounds_since_mistake_average_is_correct,6_rounds_since_mistake_average_response_time,6_rounds_since_mistake_GAP_RT,6_rounds_since_mistake_average_duration,6_rounds_since_mistake_average_is_correct,7_rounds_since_mistake_average_response_time,7_rounds_since_mistake_GAP_RT,7_rounds_since_mistake_average_duration,7_rounds_since_mistake_average_is_correct,8_rounds_since_mistake_average_response_time,8_rounds_since_mistake_GAP_RT,8_rounds_since_mistake_average_duration,8_rounds_since_mistake_average_is_correct,9_rounds_since_mistake_average_response_time,9_rounds_since_mistake_GAP_RT,9_rounds_since_mistake_average_duration,9_rounds_since_mistake_average_is_correct,1_rounds_since_correct_average_response_time,1_rounds_since_correct_average_duration,1_rounds_since_correct_average_is_correct,is_mobile,gender,age,has_disorder,education
41,119,73.22689075630252,13.53365984223236,548.1428571428571,0.9663865546218487,73.48695652173913,546.0695652173913,65.75,607.75,675.0,49.0,False,518.0,-157.0,79.33333333333333,1.0,622.0,104.0,83.0,1.0,582.6666666666666,-39.33333333333337,71.33333333333333,1.0,588.0,5.333333333333371,90.0,1.0,587.3333333333334,-0.6666666666666288,76.0,1.0,601.6666666666666,14.333333333333258,76.33333333333333,1.0,562.0,-39.66666666666663,91.33333333333333,1.0,502.6666666666667,-59.333333333333314,76.0,1.0,575.3333333333334,72.66666666666669,77.33333333333333,1.0,547.8260869565217,73.27826086956522,0.9739130434782609,True,female,33,FALSE,HighSchool
130,119,73.6218487394958,21.769202159355594,488.2773109243698,0.9915966386554622,73.78813559322033,488.7457627118644,54.0,433.0,433.0,54.0,False,443.0,10.0,65.0,1.0,567.0,124.0,60.0,1.0,409.0,-158.0,101.0,1.0,424.0,15.0,75.0,1.0,477.0,53.0,58.0,1.0,482.0,5.0,68.0,1.0,416.0,-66.0,67.0,1.0,601.0,185.0,70.0,1.0,390.0,-211.0,75.0,1.0,487.85470085470087,73.23931623931624,0.9914529914529915,True,male,32,TRUE,HighSchool
26,112,76.84821428571429,12.950501622639651,618.5982142857143,0.9732142857142857,76.92660550458716,618.697247706422,74.0,615.0,768.0,56.0,False,716.5,-51.5,68.5,1.0,684.5,-32.0,83.5,1.0,780.0,95.5,71.5,1.0,664.5,-115.5,81.0,1.0,953.0,288.5,67.0,1.0,707.5,-245.5,59.0,1.0,639.5,-68.0,78.5,1.0,282.5,-357.0,86.5,1.0,673.0,390.5,61.5,1.0,615.4311926605504,77.19266055045871,0.981651376146789,True,female,55,FALSE,HighSchool
4,117,78.45299145299145,24.02243768908119,437.5213675213675,0.905982905982906,81.0754716981132,433.3867924528302,53.18181818181818,477.3636363636364,452.0,39.0,False,564.4545454545455,112.4545454545455,59.45454545454545,0.6363636363636364,549.3333333333334,-15.121212121212125,59.333333333333336,1.0,559.0,9.666666666666629,70.4,1.0,529.3333333333334,-29.66666666666663,61.166666666666664,0.6666666666666666,442.75,-86.58333333333337,88.25,1.0,437.5,-5.25,81.0,1.0,411.0,-26.5,68.25,1.0,378.0,-33.0,74.5,1.0,494.5,116.5,89.5,1.0,424.0857142857143,80.81904761904762,0.9428571428571428,True,male,28,FALSE,MA
138,119,79.01680672268908,19.498797526278437,441.5798319327731,0.9747899159663865,79.73275862068965,444.83620689655174,51.333333333333336,315.6666666666667,314.0,72.0,False,574.6666666666666,260.66666666666663,89.0,1.0,398.3333333333333,-176.33333333333331,67.0,1.0,463.0,64.66666666666669,70.66666666666667,1.0,443.3333333333333,-19.666666666666686,69.0,1.0,429.6666666666667,-13.666666666666629,97.66666666666667,1.0,497.0,67.33333333333331,69.66666666666667,1.0,437.6666666666667,-59.333333333333314,84.0,1.0,442.3333333333333,4.666666666666629,78.33333333333333,1.0,404.3333333333333,-38.0,81.66666666666667,1.0,438.3304347826087,78.52173913043478,0.9739130434782609,True,male,32,FALSE,MA
129,119,79.38655462184875,17.1242266898008,624.2521008403361,0.9915966386554622,79.5,628.8050847457627,66.0,87.0,87.0,66.0,False,669.0,582.0,90.0,1.0,602.0,-67.0,74.0,1.0,499.0,-103.0,104.0,1.0,624.0,125.0,88.0,1.0,587.0,-37.0,79.0,1.0,546.0,-41.0,74.0,1.0,566.0,20.0,55.0,1.0,581.0,15.0,116.0,1.0,618.0,37.0,79.0,1.0,621.8376068376068,79.32478632478633,0.9914529914529915,True,female,55,FALSE,BA
123,69,80.89855072463769,21.70737535787172,466.3623188405797,0.9420289855072463,82.55384615384615,477.7692307692308,54.0,281.0,,,,653.0,,83.0,1.0,356.0,-297.0,30.0,0.0,416.5,60.5,86.5,1.0,629.0,212.5,85.33333333333333,1.0,388.5,-240.5,88.5,1.0,466.0,77.5,95.0,1.0,563.5,97.5,88.5,1.0,429.0,-134.5,78.0,1.0,381.0,-48.0,94.0,1.0,463.61764705882354,80.86764705882354,0.9411764705882353,True,female,23,FALSE,HighSchool
27,119,82.91596638655462,16.67210185316328,450.4453781512605,0.9663865546218487,83.28695652173913,455.37391304347824,72.25,308.75,70.0,73.0,False,581.25,511.25,82.0,1.0,442.25,-139.0,92.25,1.0,483.0,40.75,92.5,1.0,434.0,-49.0,80.75,1.0,444.25,10.25,87.25,1.0,446.25,2.0,86.0,1.0,433.75,-12.5,87.25,0.75,496.3333333333333,62.583333333333314,83.0,1.0,475.6666666666667,-20.66666666666663,85.0,1.0,449.1929824561403,83.03508771929825,0.9736842105263158,True,male,23,FALSE,HighSchool
15,118,85.04237288135593,20.126265556766377,506.77966101694915,0.940677966101695,85.63963963963964,513.1891891891892,75.57142857142857,405.14285714285717,685.0,57.0,False,469.7142857142857,-215.28571428571428,100.71428571428571,1.0,414.7142857142857,-55.0,84.0,0.8571428571428571,473.1666666666667,58.45238095238096,69.83333333333333,0.8333333333333334,465.4,-7.766666666666708,91.6,0.6,521.0,55.60000000000002,82.66666666666667,0.6666666666666666,531.0,10.0,86.0,1.0,511.0,-20.0,95.5,1.0,446.5,-64.5,106.5,1.0,571.0,124.5,81.0,1.0,507.5181818181818,84.3,0.9454545454545454,True,female,30,TRUE,MA
65,112,87.64285714285714,17.889982673314137,564.6428571428571,0.7767857142857143,87.26436781609195,569.6091954022988,88.96,547.36,980.0,96.0,False,487.875,-492.125,83.83333333333333,0.625,583.4285714285714,95.55357142857144,84.07142857142857,0.8571428571428571,611.3076923076923,27.87912087912082,84.61538461538461,0.6923076923076923,750.0,138.69230769230774,99.14285714285714,0.7142857142857143,496.14285714285717,-253.85714285714283,91.42857142857143,1.0,435.42857142857144,-60.71428571428572,88.71428571428571,0.8571428571428571,534.6666666666666,99.23809523809518,89.66666666666667,1.0,572.3333333333334,37.66666666666674,104.5,0.8333333333333334,697.25,124.91666666666663,84.0,0.5,582.8390804597701,88.91954022988506,0.8160919540229885,True,female,35,FALSE,HighSchool
